index,title,href,rating_story,tone,theme_children_triumph,theme_animals,theme_child_lies,theme_trickster,theme_comeuppance,theme_supernatural,theme_social_satire,theme_meddling_aunt_guardian,theme_hoax_practical_joke,theme_etiquette_weapon,theme_snobbery_status_anxiety,theme_hypocrisy_respectability,theme_philanthropy_backfires,theme_country_house_politics,theme_gossip_scandal_reputation,theme_exotic_elsewhere_disruption,theme_sudden_darkness_punchline,themes_other,notes
1,The Image of the Lost Soul,text/the-image-of-the-lost-soul.xhtml,4,serious,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,allegory; compassion,Bird finds refuge by lost-soul statue; verger cages bird; bird dies; statue falls
2,Dogged,text/dogged.xhtml,4,funny,n,y,n,n,y,n,y,n,n,n,n,y,y,n,y,n,n,bohemian slide; a dog as fate,Timid man buys fox terrier Beelzebub at church bazaar; dog drags him into bohemian life; ends belonging to dog
3,The Blood-Feud of Toad-Water,text/the-blood-feud-of-toad-water.xhtml,3,funny,n,y,n,n,n,n,y,n,n,n,n,y,n,n,y,n,n,neighbour feud; rural spite,Hen raids onion bed; two families feud for years; gossip about relatives; kittens drowned; feud survives
4,New Wine in Old Bottles,text/new-wine-in-old-bottles.xhtml,3,funny,n,n,n,n,n,n,y,n,n,n,y,n,n,y,n,n,pretentious learning; malapropisms,Two market women flaunt cheap self-education; weaponise big words; gossip and grudges
5,Reginald,text/reginald.xhtml,4,funny,n,n,n,y,y,n,y,n,n,y,y,y,n,y,n,n,garden party sabotage; wit,Narrator brings Reginald to garden party; he needles the Archdeacon’s wife; social scene derails; ends on Caspian pun
6,Reginald on Christmas Presents,text/reginald-on-christmas-presents.xhtml,3,funny,n,n,n,n,n,n,y,y,n,n,y,n,n,n,n,n,presents; aunts; taste,Reginald on bad gift choices; laments aunts and prayerbooks; prefers liqueurs and jewellery
7,The Saint and the Goblin,text/the-saint-and-the-goblin.xhtml,4,mixed,n,y,n,y,y,y,y,n,y,n,n,y,y,n,y,n,n,charity; appearances; cathedral gossip,Stone saint tries to help church mice; goblin’s “help” yields a coin; vergeress turns it into a mock decoration; mice stay poor
8,Reginald on the Academy,text/reginald-on-the-academy.xhtml,3,funny,n,n,n,n,n,n,y,n,n,y,y,n,n,n,n,n,art talk; country cousins,Reginald attends the Academy for conversation; jokes about names and acquaintances; mocks slow-rising artists; thirty equals failure
9,Reginald’s Peace Poem,text/reginalds-peace-poem.xhtml,3,funny,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,y,y,war/peace sentimentality; rhyme,Reginald composes a Peace poem with widgeon and hartebeest; frets over rhymes; concludes he would rather they went on with the war
10,Reginald’s Choir Treat,text/reginalds-choir-treat.xhtml,4,funny,n,y,n,y,y,n,y,n,y,n,n,y,n,n,y,n,n,reformation backfires; pagan parody,Amabel tries to reform Reginald; he stages the choir outing as a Bacchanalian village procession with a goat; scandal follows
11,Reginald at the Theatre,text/reginald-at-the-theatre.xhtml,,,,,,,,,,,,,,,,,,,,,
12,Reginald on House-Parties,text/reginald-on-house-parties.xhtml,,,,,,,,,,,,,,,,,,,,,
13,Judkin of the Parcels,text/judkin-of-the-parcels.xhtml,,,,,,,,,,,,,,,,,,,,,
14,Reginald on Worries,text/reginald-on-worries.xhtml,,,,,,,,,,,,,,,,,,,,,
15,Reginald at the Carlton,text/reginald-at-the-carlton.xhtml,,,,,,,,,,,,,,,,,,,,,
16,Reginald on Besetting Sins,text/reginald-on-besetting-sins.xhtml,,,,,,,,,,,,,,,,,,,,,
17,Reginald’s Drama,text/reginalds-drama.xhtml,,,,,,,,,,,,,,,,,,,,,
18,Reginald on Tariffs,text/reginald-on-tariffs.xhtml,,,,,,,,,,,,,,,,,,,,,
19,Reginald’s Christmas Revel,text/reginalds-christmas-revel.xhtml,,,,,,,,,,,,,,,,,,,,,
20,Reginald’s Rubaiyat,text/reginalds-rubaiyat.xhtml,,,,,,,,,,,,,,,,,,,,,
21,The Innocence of Reginald,text/the-innocence-of-reginald.xhtml,,,,,,,,,,,,,,,,,,,,,
22,Reginald in Russia,text/reginald-in-russia.xhtml,,,,,,,,,,,,,,,,,,,,,
23,The Reticence of Lady Anne,text/the-reticence-of-lady-anne.xhtml,,,,,,,,,,,,,,,,,,,,,
24,A Young Turkish Catastrophe,text/a-young-turkish-catastrophe.xhtml,,,,,,,,,,,,,,,,,,,,,
25,The Sex That Doesn’t Shop,text/the-sex-that-doesnt-shop.xhtml,,,,,,,,,,,,,,,,,,,,,
26,The Lost Sanjak,text/the-lost-sanjak.xhtml,,,,,,,,,,,,,,,,,,,,,
27,The Soul of Laploshka,text/the-soul-of-laploshka.xhtml,,,,,,,,,,,,,,,,,,,,,
28,Gabriel-Ernest,text/gabriel-ernest.xhtml,,,,,,,,,,,,,,,,,,,,,
29,The Strategist,text/the-strategist.xhtml,,,,,,,,,,,,,,,,,,,,,
30,The Bag,text/the-bag.xhtml,,,,,,,,,,,,,,,,,,,,,
31,Crosscurrents,text/crosscurrents.xhtml,,,,,,,,,,,,,,,,,,,,,
32,The Baker’s Dozen,text/the-bakers-dozen.xhtml,,,,,,,,,,,,,,,,,,,,,
33,The Mouse,text/the-mouse.xhtml,,,,,,,,,,,,,,,,,,,,,
34,The Matchmaker,text/the-matchmaker.xhtml,,,,,,,,,,,,,,,,,,,,,
35,Tobermory,text/tobermory.xhtml,,,,,,,,,,,,,,,,,,,,,
36,Hermann the Irascible,text/hermann-the-irascible.xhtml,,,,,,,,,,,,,,,,,,,,,
37,Wratislav,text/wratislav.xhtml,,,,,,,,,,,,,,,,,,,,,
38,The Unrest-Cure,text/the-unrest-cure.xhtml,,,,,,,,,,,,,,,,,,,,,
